Country,Division,Category,Next URL,Source URL
United Arab Emirates,Home,Bed Sheets,https://www.next.ae/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.zarahome.com/ae/bedroom-basic-sheets-n1799
United Arab Emirates,Home,Ceiling Lights,https://www.next.ae/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.ikea.com/ae/en/cat/ceiling-lights-18750/
United Arab Emirates,Home,Ceiling Lights,https://www.next.ae/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.homecentre.com/ae/en/c/household-lighting-ceilinglamps-pendantlamps
United Arab Emirates,Home,Ceiling Lights,https://www.next.ae/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.zarahome.com/ae/lighting-ceiling-lamps-n4884
United Arab Emirates,Home,Curtains,https://www.next.ae/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.ikea.com/ae/en/cat/curtains-10700/
United Arab Emirates,Home,Curtains,https://www.next.ae/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.homecentre.com/ae/en/c/household-windows-curtains
United Arab Emirates,Home,Curtains,https://www.next.ae/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.zarahome.com/ae/home-decor-curtains-blinds-n996
United Arab Emirates,Home,Cushions,https://www.next.ae/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.ikea.com/ae/en/cat/bath-mats-20519/
United Arab Emirates,Home,Cushions,https://www.next.ae/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.homecentre.com/ae/en/c/household-cushionsandthrows-filledcushions
United Arab Emirates,Home,Cushions,https://www.next.ae/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.zarahome.com/ae/home-decor-cushions-couch-living-room-n994
United Arab Emirates,Home,Bath Mats,https://www.next.ae/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.homecentre.com/ae/en/c/household-bathandlaundry-bathlinen-bathmatsandtubmats
United Arab Emirates,Home,Bath Mats,https://www.next.ae/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.zarahome.com/ae/bathroom-bathmats-n1052
United Arab Emirates,Home,Table Lamps,https://www.next.ae/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.ikea.com/ae/en/cat/table-lamps-10732/
United Arab Emirates,Home,Table Lamps,https://www.next.ae/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.homecentre.com/ae/en/c/household-lighting-tableanddesklamps
United Arab Emirates,Home,Table Lamps,https://www.next.ae/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.zarahome.com/ae/lighting-lamps-table-n4881
Israel,Home,Bed Sets,https://www.next.co.il/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.ikea.com/il/he/cat/duvet-covers-bedding-sets-10680/
