Country,Category,Next,IKEA,Very,Dunnes,Home Store + More
Australia,Bed Sets,https://www.next.com.au/en/shop/home/bedding/bed-linen-sets/f/category-bedsets,https://www.ikea.com/au/en/cat/quilt-cover-sets-10680/,https://www.myer.com.au/c/home/bedding/quilt-covers,,
,Towels,https://www.next.com.au/en/shop/home/bathroom/bathroom-textiles/f/category-towels,https://www.ikea.com/au/en/cat/towels-20520/,https://www.myer.com.au/c//home/bathroom/bath-towels,,
,Bed Sheets,https://www.next.com.au/en/shop/home/bedroom/f/category-bedsheets,https://www.ikea.com/au/en/cat/bedsheets-10681/,N/A,,
,Ceiling Lights,https://www.next.com.au/en/shop/home/lighting/ceiling-lights,https://www.ikea.com/au/en/cat/ceiling-lights-18750/,https://www.myer.com.au/c/home/furniture-home-decor/lighting-1/indoor-lights/ceiling-lights,,
,Curtains,https://www.next.com.au/en/shop/home/home-furnishings/curtains-and-blinds/f/category-curtains,https://www.ikea.com/au/en/cat/curtains-10700/,https://www.myer.com.au/search?query=curtains,,
,Cushions,https://www.next.com.au/en/shop/home/cushions-and-throws/f/category-cushions,https://www.ikea.com/au/en/cat/cushions,https://www.myer.com.au/c/home/furniture-home-decor/cushions/bedroom-cushions,,
,Bath Mats,https://www.next.com.au/en/shop/home/bathroom/bathroom-textiles/f/category-bathmats,https://www.ikea.com/au/en/cat/bath-mats-20519/,https://www.myer.com.au/c/home/allbathroom/bathroom-bath-mats,,
,Table Lamps,https://www.next.com.au/en/shop/home/lighting/desk-table-lamps,https://www.ikea.com/au/en/cat/bedside-desk-lamps-10732/,https://www.myer.com.au/c/home/furniture-home-decor/lighting-1/lighting-lamps/lights-table-lamps,,
,,,,,,
,,,Zara Home,Homemate,Atrium,
Malta,Bed Sets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsets,https://www.zarahome.com/mt/bedroom-bedspreads-n951,https://www.homemate.com.mt/product-category/bedspreads,https://www.theatrium.com.mt/textiles/bedspreads-duvets-quilts,
,Towels,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-towels,https://www.zarahome.com/mt/bathroom-towels-n1051,https://www.homemate.com.mt/product-category/bath-linen-towels,https://www.theatrium.com.mt/textiles/bath-linen-towels,
,Bed Sheets,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bedding/category-bedsheets,https://www.zarahome.com/mt/bedroom-fitted-sheets-n948,https://www.homemate.com.mt/product-category/bed-sheets,https://www.theatrium.com.mt/textiles/bed-sheets,
,Ceiling Lights,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,https://www.zarahome.com/mt/lighting-ceiling-lamps-n4884,https://www.homemate.com.mt/product-category/indoor-hanging-lights,https://www.theatrium.com.mt/lighting/chandeliers-pendants,
,Curtains,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-curtainsandblinds/category-curtains,https://www.zarahome.com/mt/home-decor-curtains-blinds-n996,https://www.homemate.com.mt/product-category/curtains,https://www.theatrium.com.mt/textiles/curtains-blinds,
,Cushions,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,https://www.zarahome.com/mt/home-decor-cushions-couch-living-room-n994,https://www.homemate.com.mt/product-category/cushions-cushion-covers,https://www.theatrium.com.mt/textiles/cushions-covers,
,Bath Mats,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-bathroomtextiles/category-bathmats,https://www.zarahome.com/mt/bathroom-bathmats-n1052,N/A,https://www.theatrium.com.mt/textiles/bathroom-carpets,
,Table Lamps,https://www.next.com.mt/en/shop/department-homeware-productaffiliation-lighting/category-desktablelamps,https://www.zarahome.com/mt/lighting-lamps-table-n4881,https://www.homemate.com.mt/product-category/lamps,https://www.theatrium.com.mt/lighting/table-lamps,
,,,,,,
,,/,IKEA,Homecentre,Zara Home,
